Date,Month,Quarter,Year
2025-01-01,January,Q1,2025
2025-01-02,January,Q1,2025
2025-01-03,January,Q1,2025
2025-01-04,January,Q1,2025
2025-01-05,January,Q1,2025
2025-01-06,January,Q1,2025
2025-01-07,January,Q1,2025
2025-01-08,January,Q1,2025
2025-01-09,January,Q1,2025
2025-01-10,January,Q1,2025
2025-01-11,January,Q1,2025
2025-01-12,January,Q1,2025
2025-01-13,January,Q1,2025
2025-01-14,January,Q1,2025
2025-01-15,January,Q1,2025
2025-01-16,January,Q1,2025
2025-01-17,January,Q1,2025
2025-01-18,January,Q1,2025
2025-01-19,January,Q1,2025
2025-01-20,January,Q1,2025
2025-01-21,January,Q1,2025
2025-01-22,January,Q1,2025
2025-01-23,January,Q1,2025
2025-01-24,January,Q1,2025
2025-01-25,January,Q1,2025
2025-01-26,January,Q1,2025
2025-01-27,January,Q1,2025
2025-01-28,January,Q1,2025
2025-01-29,January,Q1,2025
2025-01-30,January,Q1,2025
2025-01-31,January,Q1,2025
2025-02-01,February,Q1,2025
2025-02-02,February,Q1,2025
2025-02-03,February,Q1,2025
2025-02-04,February,Q1,2025
2025-02-05,February,Q1,2025
2025-02-06,February,Q1,2025
2025-02-07,February,Q1,2025
2025-02-08,February,Q1,2025
2025-02-09,February,Q1,2025
2025-02-10,February,Q1,2025
2025-02-11,February,Q1,2025
2025-02-12,February,Q1,2025
2025-02-13,February,Q1,2025
2025-02-14,February,Q1,2025
2025-02-15,February,Q1,2025
2025-02-16,February,Q1,2025
2025-02-17,February,Q1,2025
2025-02-18,February,Q1,2025
2025-02-19,February,Q1,2025
2025-02-20,February,Q1,2025
2025-02-21,February,Q1,2025
2025-02-22,February,Q1,2025
2025-02-23,February,Q1,2025
2025-02-24,February,Q1,2025
2025-02-25,February,Q1,2025
2025-02-26,February,Q1,2025
2025-02-27,February,Q1,2025
2025-02-28,February,Q1,2025
2025-03-01,March,Q1,2025
2025-03-02,March,Q1,2025
2025-03-03,March,Q1,2025
2025-03-04,March,Q1,2025
2025-03-05,March,Q1,2025
2025-03-06,March,Q1,2025
2025-03-07,March,Q1,2025
2025-03-08,March,Q1,2025
